Questions,Answers
What is the purpose of a Validator?,You can find the Validator at the time of defining the UI control. A Validator may be text or a number to predefine the min and max values that can be entered as an input
When can we use Validator?,You can find the Validator at the time of defining the UI control. A Validator may be text or a number to predefine the min and max values that can be entered as an input
Can I add a limit to the Input values ?,You can find the Validator at the time of defining the UI control. A Validator may be text or a number to predefine the min and max values that can be entered as an input
Can I provide limit to an Attribute?,You can find the Validator at the time of defining the UI control. A Validator may be text or a number to predefine the min and max values that can be entered as an input
Is it possible to move from one CU to another CU?,You can go back to GSI and then select the CU you wish to edit.
Is it possible to switch to other CUs?,You can go back to GSI and then select the CU you wish to edit.
Can we switch around different CUs?,You can go back to GSI and then select the CU you wish to edit.
Can I swap between CUs?,You can go back to GSI and then select the CU you wish to edit.
How to edit the solution at the time of review?,"You can just review the solution at the time of review. If you wish to edit the solution, you can go back to your library"
Can we edit the solution at the time of review?,"You can just review the solution at the time of review. If you wish to edit the solution, you can go back to your library"
How can I retrieve the data that exists in the database?,You can retrieve them by selecting the option 'Add from Library' while creating the solution
How many solution can we save in a Book?,You can save as many solutions as possible
Where can I save my solution?,You can save your solution in a pre-existing book or in a new book
Where to save a solution?,You can save your solution in a pre-existing book or in a new book
How can I use the previously created GSI and CUs in the Current solution?,You can search for your solutions from the option add from library and select the previous solution you wish to use
Where can we search for our Books?,You can search your books in MY Library at the search bar just beside your account icon
What are the type of CUs?,"You can see reserved, alternate, sequential, Parallel, nested, embedded, exception, and recursive CUs"
What are the various types of CUs?,"You can see reserved, alternate, sequential, Parallel, nested, embedded, exception, and recursive CUs"
What is On Change event?,You can Select change event if the Attributes need to change according to another Attribute or list of Attributes
How can we use the option On change in UI control?,You can Select change event if the Attributes need to change according to another Attribute or list of Attributes
